,Home Team,Away Team,year,league,Home_win,Draw_win,Away_win,HT_results,AT_results
2280,FULHAM,ARSENAL,2020,english,0.4348236627506661,0.2347696045902704,0.3304067326590634,[],[]
2281,CRYSTAL PALACE,SOUTHAMPTON,2020,english,0.23329499284710778,0.21666559133511248,0.5500394158177798,[],[]
2282,LIVERPOOL,LEEDS UTD,2020,english,0.4102531389519422,0.27129701821153435,0.3184498428365235,[],[]
2283,WEST HAM,NEWCASTLE,2020,english,0.41791007391241836,0.31906210885398945,0.26302781723359225,[],[]
2284,WEST BROM,LEICESTER CITY,2020,english,0.46880650136853036,0.25311758854013594,0.27807591009133353,[],[]
2285,TOTTENHAM,EVERTON,2020,english,0.43747126800195474,0.23619909725868707,0.3263296347393581,[],[]
2286,SHEFFIELD UTD,WOLVES,2020,english,0.4277441372105519,0.23697347961551785,0.3352823831739302,[],[]
2287,BRIGHTON,CHELSEA,2020,english,0.4895494123636086,0.24054288140845287,0.26990770622793864,[],[]
2288,BURNLEY,MAN UTD,2020,english,0.3061127162715931,0.2593269911415014,0.4345602925869056,[],[]
2289,MAN CITY,ASTON VILLA,2020,english,0.39047940121525787,0.2255839401376397,0.38393665864710247,[],[]
2290,EVERTON,WEST BROM,2020,english,0.4862306338489224,0.24089387355179837,0.2728754925992791,['win'],['lose']
2291,LEEDS UTD,FULHAM,2020,english,0.4863968234407761,0.2676881316633414,0.24591504489588242,['win'],['lose']
2292,MAN UTD,CRYSTAL PALACE,2020,english,0.5326212473641312,0.2652822892000811,0.2020964634357877,['lose'],['win']
2293,ARSENAL,WEST HAM,2020,english,0.5689725626510547,0.1915209685665759,0.23950646878236942,['win'],['lose']
2294,SOUTHAMPTON,TOTTENHAM,2020,english,0.5349563784891453,0.25613615743201745,0.20890746407883715,['lose'],['lose']
2295,NEWCASTLE,BRIGHTON,2020,english,0.4223327970984004,0.26603038056219835,0.3116368223394014,['lose'],['lose']
2296,CHELSEA,LIVERPOOL,2020,english,0.4735999289242548,0.20309677084277492,0.3233033002329703,['lose'],['win']
2297,LEICESTER CITY,BURNLEY,2020,english,0.5865933046095382,0.20771512068807302,0.20569157470238883,['win'],['lose']
2298,ASTON VILLA,SHEFFIELD UTD,2020,english,0.33311822728179896,0.32709302122282513,0.33978875149537585,['win'],['lose']
2299,WOLVES,MAN CITY,2020,english,0.2648090486189279,0.27410249665984465,0.46108845472122745,['lose'],['win']
2300,BRIGHTON,MAN UTD,2020,english,0.4352259934015948,0.20515960482768725,0.3596144017707179,"['lose', 'lose']","['lose', 'lose']"
2301,CRYSTAL PALACE,EVERTON,2020,english,0.23168532331659744,0.3377708084932405,0.43054386819016205,"['win', 'lose']","['win', 'win']"
2302,WEST BROM,CHELSEA,2020,english,0.4624806007231911,0.2916847608309537,0.24583463844585515,"['lose', 'draw']","['lose', 'win']"
2303,BURNLEY,SOUTHAMPTON,2020,english,0.34553233465507793,0.3074913233255478,0.3469763420193743,"['lose', 'lose']","['lose', 'win']"
2304,SHEFFIELD UTD,LEEDS UTD,2020,english,0.3986553264379216,0.26722448643920393,0.33412018712287433,"['lose', 'lose']","['win', 'draw']"
2305,TOTTENHAM,NEWCASTLE,2020,english,0.5333346874775624,0.23422305247373124,0.2324422600487064,"['lose', 'draw']","['lose', 'win']"
