Home Team,Away Team,league_x,pred_x,HT_results,AT_results,Home Team points bm,Away Team points bm,difference of points bm,Home Team playing winning ,Away Team playing winning ,Home Team total goals scored bm,Away Team total goals scored bm,Home Team total goals conceeded bm,Away Team total goals conceeded bm,Home Team difference of goals bm,Away Team difference of goals bm,Home Team mean rating bm,Away Team mean rating bm,Home Team possession bm,Away Team possession bm,Home Team total shots bm,Away Team total shots bm,Home Team accuracy shots bm,Away Team accuracy shots bm,Home Team blocked shots by defense bm,Away Team blocked shots by defense bm,Home Team blocked shots by goalkeeper bm,Away Team blocked shots by goalkeeper bm,Home Team defense srength,Away Team defense strength,Home Team goals may be scored,Away Team goals may be scored,Home Team defeat proba,Home Team null proba,Home Team winning proba,Away Team defeat proba,Away Team null proba,Away Team winning proba,playing winning  diff,total goals scored bm diff,total goals conceeded bm diff,difference of goals bm diff,mean rating bm diff,possession bm diff,total shots bm diff,accuracy shots bm diff,blocked shots by defense bm diff,blocked shots by goalkeeper bm diff,defense srength diff,goals may be scored diff,pred_y
FULHAM,ARSENAL,english,"[0.4348236627506661, 0.2347696045902704, 0.3304067326590634]",[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"[0.4348236627506661, 0.2347696045902704, 0.3304067326590634]"
CRYSTAL PALACE,SOUTHAMPTON,english,"[0.23329499284710778, 0.21666559133511248, 0.5500394158177798]",[],[],65,86,-21,10,14,62,83,47,32,-20,68,7.094632286560954,7.392117297725782,44.14646795308363,60.73590698452608,15.822903776970634,16.535874500274076,0.4056495025984751,0.4708768123110566,0.15041842652026108,0.21461161441152332,0.8348368678239889,0.7616804717239575,20.397381921118214,12.735865576118524,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,21,-15,88,0.2974850111648273,16.589439031442453,0.7129707233034424,0.0652273097125815,0.06419318789126224,-0.07315639610003144,-7.66151634499969,0,"[0.23329499284710778, 0.21666559133511248, 0.5500394158177798]"
LIVERPOOL,LEEDS UTD,english,"[0.4102531389519422, 0.27129701821153435, 0.3184498428365235]",[],[],39,43,-4,4,4,33,47,55,68,0,0,5.60166944949815,5.573423447952518,49.43460318441066,55.361161490720406,11.052483605235466,15.67598354790971,0.3284336787096267,0.33311948965835947,0.3320871976027996,0.22561056953470057,0.47902809333234986,0.634822963996218,28.663092370592132,15.198690960559107,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,13,0,-0.028246001545632282,5.926558306309744,4.623499942674243,0.0046858109487327715,-0.10647662806809902,0.1557948706638681,-13.464401410033025,0,"[0.4102531389519422, 0.27129701821153435, 0.3184498428365235]"
WEST HAM,NEWCASTLE,english,"[0.41791007391241836, 0.31906210885398945, 0.26302781723359225]",[],[],44,59,-15,6,11,41,47,66,48,-28,39,5.866993025760894,5.124734715167142,33.68700124473253,38.86153810356336,10.159626089931407,10.909821924462449,0.6223154503444707,0.3394094108675388,0.13672453106317609,0.3699096033378758,0.4044310579266104,0.7127433961670189,17.1947099905383,13.367932788059262,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,6,-18,67,-0.7422583105937521,5.174536858830834,0.7501958345310413,-0.2829060394769319,0.23318507227469973,0.3083123382404085,-3.826777202479038,0,"[0.41791007391241836, 0.31906210885398945, 0.26302781723359225]"
WEST BROM,LEICESTER CITY,english,"[0.46880650136853036, 0.25311758854013594, 0.27807591009133353]",[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"[0.46880650136853036, 0.25311758854013594, 0.27807591009133353]"
TOTTENHAM,EVERTON,english,"[0.43747126800195474, 0.23619909725868707, 0.3263296347393581]",[],[],0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"[0.43747126800195474, 0.23619909725868707, 0.3263296347393581]"
SHEFFIELD UTD,WOLVES,english,"[0.4277441372105519, 0.23697347961551785, 0.3352823831739302]",[],[],62,55,7,10,9,68,55,45,46,11,46,6.522019270450983,6.3173386959941125,55.951355618584785,36.848913233676285,12.63651302899234,11.996128602280805,0.39173094460407465,0.3866971353118426,0.37366988275206914,0.15852804482491373,0.6761739322186393,0.7672406354390355,13.40098833650236,20.848054820416273,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-13,1,35,-0.20468057445687027,-19.1024423849085,-0.6403844267115346,-0.005033809292232072,-0.2151418379271554,0.09106670322039623,7.447066483913913,0,"[0.4277441372105519, 0.23697347961551785, 0.3352823831739302]"
BRIGHTON,CHELSEA,english,"[0.4895494123636086, 0.24054288140845287, 0.26990770622793864]",[],[],66,45,21,9,5,68,36,50,52,-9,68,6.081264183636085,5.832351285763433,48.4777271676503,55.24457561429881,10.964109391330567,13.098490648400912,0.48490993164784796,0.2994580729150328,0.23470191711362062,0.3382443584326263,0.2269821566213907,0.6291723503597773,13.30197667300472,12.337711203332546,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-4,-32,2,77,-0.24891289787265158,6.76684844664851,2.134381257070345,-0.18545185873281517,0.10354244131900567,0.40219019373838655,-0.9642654696721742,0,"[0.4895494123636086, 0.24054288140845287, 0.26990770622793864]"
BURNLEY,MAN UTD,english,"[0.3061127162715931, 0.2593269911415014, 0.4345602925869056]",[],[],45,61,-16,6,10,46,55,62,39,52,55,6.731107753713877,7.150614462124213,36.95910389288474,56.17310245746921,11.737231618149963,12.104492032754933,0.38399042451169707,0.37751399497283933,0.249942396910122,0.2914040189479504,0.3835272517802271,0.8706834809707895,15.842833988068197,13.671691409943197,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,9,-23,3,0.4195067084103359,19.21399856458447,0.3672604146049707,-0.006476429538857742,0.04146162203782844,0.4871562291905624,-2.171142578125,0,"[0.3061127162715931, 0.2593269911415014, 0.4345602925869056]"
MAN CITY,ASTON VILLA,english,"[0.39047940121525787, 0.2255839401376397, 0.38393665864710247]",[],[],74,67,7,9,10,73,58,44,36,8,91,6.612641575899033,6.238241266106343,49.57487333192694,65.06344298287149,10.419570371042937,19.6279675550104,0.4101114677668515,0.3301504907408957,0.11485994070012313,0.2635847983027697,0.7084589888501795,0.4998347464549754,15.668855601666273,14.924027410208137,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,-15,-8,83,-0.3744003097926907,15.488569650944555,9.208397183967463,-0.07996097702595578,0.1487248576026466,-0.20862424239520416,-0.7448281914581365,0,"[0.39047940121525787, 0.2255839401376397, 0.38393665864710247]"
